erroX,erroY,CoordX,CoordY
-0.0744967460632324,-0.17713463306427,2.0,2.0
-0.1048821210861206,0.0256822109222412,2.0,2.0
-0.1613615751266479,-0.0992051362991333,2.0,2.0
-0.0373997688293457,-0.0519813299179077,2.0,2.0
-0.031338095664978,-0.1513494253158569,2.0,2.0
0.3669848442077636,0.1294901371002197,2.0,2.0
-0.0611672401428222,-0.0279645919799804,2.0,2.0
0.0045945644378662,-0.1004441976547241,2.0,2.0
-0.0416185855865478,-0.0915131568908691,2.0,2.0
0.0245974063873291,0.3831121921539306,2.0,2.0
-0.0947003364562988,0.0079383850097656,2.0,2.0
-0.0983902215957641,0.0650868415832519,2.0,2.0
-0.0820882320404052,-0.043216586112976,2.0,2.0
0.0341389179229736,-0.0043860673904418,2.0,2.0
-0.0884007215499877,-0.018369436264038,2.0,2.0
-0.0376254320144653,-0.0416209697723388,2.0,2.0
-0.0853108167648315,-0.0015250444412231,2.0,2.0
-0.0208576917648315,-0.186895489692688,2.0,2.0
-0.1600414514541626,-0.0211564302444458,2.0,2.0
-0.0888160467147827,-0.0299640893936157,2.0,2.0
-0.1045622825622558,-0.003849983215332,2.0,2.0
-0.2536344528198242,0.3392765522003174,2.0,2.0
-0.095563530921936,-0.0222843885421752,2.0,2.0
-0.0137392282485961,-0.2232646942138672,2.0,2.0
-0.1490952968597412,0.0296394824981689,2.0,2.0
-0.1038744449615478,-0.0159622430801391,2.0,2.0
-0.1516289710998535,-0.100319504737854,2.0,2.0
-0.1280522346496582,-0.0354667901992797,2.0,2.0
-0.0372053384780883,-0.0297449827194213,2.0,2.0
0.0071856975555419,-0.0073071718215942,2.0,2.0
-0.1507090330123901,-0.0716152191162109,2.0,2.0
-0.0168561935424804,-0.126834750175476,2.0,2.0
-0.0680378675460815,-0.0182360410690307,2.0,2.0
-0.1858006715774536,-0.0653151273727417,2.0,2.0
-0.1976754665374755,0.005922794342041,2.0,2.0
-0.0946376323699951,-0.0114697217941284,2.0,2.0
-0.1513996124267578,-0.0886536836624145,2.0,2.0
-0.1585193872451782,0.1252319812774658,2.0,2.0
-0.2367035150527954,-0.0066173076629638,2.0,2.0
-0.1000759601593017,0.0557453632354736,2.0,2.0
-0.0888533592224121,-0.0144029855728149,2.0,2.0
-0.0606657266616821,-0.1534533500671386,2.0,2.0
-0.1768375635147094,-0.0545679330825805,2.0,2.0
0.0420901775360107,-0.0518909692764282,2.0,2.0
-0.0992357730865478,-0.0431960821151733,2.0,2.0
0.1136837005615234,0.0337417125701904,2.0,2.0
-0.0414360761642456,0.1078534126281738,2.0,2.0
-0.1998041868209839,1.5636277198791504,2.0,2.0
-0.096522569656372,-0.0108404159545898,2.0,2.0
-0.1508305072784423,-0.109057068824768,2.0,2.0
-0.0815595388412475,-0.014058232307434,2.0,2.0
-0.0981980562210083,-0.0528876781463623,2.0,2.0
-0.1370550394058227,0.124164342880249,2.0,2.0
-0.0960814952850341,0.0103456974029541,2.0,2.0
-0.2148407697677612,0.3761954307556152,2.0,2.0
-0.0936832427978515,-0.0139150619506835,2.0,2.0
-0.1544424295425415,-0.2880587577819824,2.0,6.0
2.147479057312012,1.0300250053405762,2.0,6.0
0.4241294860839844,0.5938730239868164,2.0,6.0
-0.2291097640991211,-0.2022786140441894,2.0,6.0
-0.0058590173721313,-0.0381140708923339,2.0,6.0
-0.09927499294281,-0.1491055488586425,2.0,6.0
-0.5078473091125488,0.0463948249816894,2.0,6.0
-0.0853359699249267,0.0604300498962402,2.0,6.0
-0.1239600181579589,-0.0543789863586425,2.0,6.0
0.0100576877593994,0.0140233039855957,2.0,6.0
-0.1533440351486206,-0.043555736541748,2.0,6.0
0.0267825126647949,0.0480837821960449,2.0,6.0
-0.1548382043838501,-0.2247238159179687,2.0,6.0
-0.1433926820755005,0.1072382926940918,2.0,6.0
0.0360236167907714,0.4907393455505371,2.0,6.0
0.2674636840820312,0.2700338363647461,2.0,6.0
-0.2557862997055053,0.0964932441711425,2.0,6.0
0.7831540107727051,-0.2920260429382324,2.0,6.0
0.1786117553710937,0.2276287078857422,2.0,6.0
0.1069214344024658,0.2289252281188964,2.0,6.0
2.357097148895264,0.9994378089904784,2.0,6.0
-0.1145437955856323,-0.1454296112060547,2.0,6.0
-0.0201004743576049,0.6624302864074707,2.0,6.0
-0.1801677942276001,-0.3880867958068847,2.0,6.0
-0.1126680374145507,-0.0940876007080078,2.0,6.0
1.3508868217468262,-0.2511520385742187,2.0,6.0
-0.1888273954391479,-0.0113606452941894,2.0,6.0
0.3078041076660156,0.2274785041809082,2.0,6.0
0.4257600307464599,0.4629664421081543,2.0,6.0
-0.3749330043792724,-0.2322344779968261,2.0,6.0
-0.1479068994522094,-0.1015076637268066,2.0,6.0
-0.1171700954437255,0.3165335655212402,2.0,6.0
-0.0961165428161621,-0.1064028739929199,2.0,6.0
3.73126220703125,1.4419341087341309,2.0,6.0
-0.1983082294464111,0.2330756187438964,2.0,6.0
-0.1040443181991577,-0.4044127464294433,2.0,6.0
0.2988293170928955,0.0216622352600097,2.0,6.0
-0.2653861045837402,-0.1772933006286621,2.0,6.0
-0.0990422964096069,-0.0875873565673828,2.0,6.0
-0.24329674243927,-0.0678515434265136,2.0,6.0
-0.224044919013977,-0.1811738014221191,2.0,6.0
0.0713815689086914,-0.3389096260070801,2.0,6.0
2.1601662635803223,0.9928369522094728,2.0,6.0
0.2319316864013672,0.7069354057312012,2.0,6.0
-0.2468048334121704,-0.0466570854187011,2.0,6.0
-0.1519525051116943,0.1596503257751464,2.0,6.0
0.1684796810150146,0.880195140838623,2.0,6.0
-0.2213914394378662,-0.5963621139526367,2.0,6.0
0.0951383113861084,0.1472344398498535,2.0,6.0
-0.1434344053268432,-0.0297889709472656,2.0,6.0
-0.439919114112854,-0.3417201042175293,2.0,6.0
-0.1883794069290161,-0.0789122581481933,2.0,6.0
-0.1381279230117797,-0.0439543724060058,2.0,6.0
-0.2425192594528198,-0.1664004325866699,2.0,6.0
0.1110072135925293,-0.0999646186828613,2.0,6.0
0.0166113376617431,-0.1128082275390625,2.0,6.0
-0.2263082265853881,-0.6639838218688965,2.0,6.0
2.9990711212158203,2.8222827911376958,2.0,6.0
2.194793224334717,2.104998588562012,2.0,6.0
1.213233232498169,1.340281963348389,2.0,6.0
0.7249107360839844,0.7784218788146973,2.0,6.0
-0.1409517526626587,-0.2123351097106933,2.0,6.0
-0.1359586715698242,0.2115335464477539,2.0,6.0
-0.1404825448989868,0.0483660697937011,2.0,6.0
-0.4758874177932739,-0.5600104331970215,2.0,6.0
0.0574569702148437,0.5063033103942871,2.0,6.0
0.0924701690673828,-0.0316815376281738,2.0,6.0
2.1524548530578613,2.073826789855957,2.0,6.0
-0.1430774927139282,-0.1201252937316894,2.0,6.0
0.9802529811859132,1.252199649810791,2.0,6.0
-0.1096155643463134,-0.1121993064880371,2.0,6.0
0.3089146614074707,-0.4632611274719238,2.0,6.0
3.878563404083252,3.764937400817871,2.0,6.0
0.8344264030456543,0.7390561103820801,2.0,6.0
0.0418462753295898,0.069955825805664,2.0,6.0
-0.1775914430618286,-1.9038491249084477,2.0,6.0
-0.410241961479187,-0.9845757484436036,2.0,6.0
0.8745157718658447,0.2629485130310058,2.0,6.0
-0.1110737323760986,-0.1280150413513183,2.0,6.0
0.2288203239440918,0.5595908164978027,2.0,6.0
-0.1273254156112671,-0.0010981559753417,2.0,6.0
-0.0962494611740112,-0.1194992065429687,2.0,6.0
0.0067267417907714,0.416867733001709,2.0,6.0
-0.1637161970138549,-0.0253238677978515,2.0,6.0
-0.1432083845138549,-0.3126883506774902,2.0,6.0
-0.2966922521591186,-0.4012904167175293,2.0,6.0
1.1654484272003174,-0.3750844001770019,2.0,6.0
6.227901458740234,3.755986213684082,2.0,6.0
-0.0354577302932739,0.0034246444702148,2.0,6.0
0.995323896408081,-1.9589314460754397,2.0,6.0
-0.0024590492248535,0.3738031387329101,2.0,6.0
-0.1725634336471557,0.1902298927307129,2.0,6.0
0.4147689342498779,0.5380392074584961,2.0,6.0
-0.0888417959213256,-0.1129679679870605,2.0,6.0
0.0730619430541992,0.1008563041687011,2.0,6.0
-0.0046073198318481,-0.2746272087097168,2.0,6.0
-0.0722607374191284,-0.0101103782653808,2.0,6.0
-0.3963290452957153,-0.6995291709899902,2.0,6.0
-0.0739418268203735,-0.0807976722717285,2.0,6.0
0.1834721565246582,0.1752357482910156,2.0,6.0
-0.2228754758834839,0.1812243461608886,2.0,6.0
-0.1657080650329589,-0.202150821685791,2.0,6.0
-0.3869837522506714,-1.1842246055603027,2.0,6.0
-0.0933400392532348,-0.0721316337585449,2.0,6.0
0.2528667449951172,0.4681639671325683,2.0,6.0
2.1217379570007324,2.488992691040039,2.0,6.0
1.8958840370178225,1.6462783813476562,2.0,6.0
-0.1504735946655273,-0.2973217964172363,2.0,6.0
-0.1071105003356933,-0.1386561393737793,2.0,6.0
-0.1513503789901733,0.0293612480163574,2.0,6.0
-0.0705128908157348,-0.0913748741149902,2.0,6.0
-0.3569366931915283,0.3632655143737793,2.0,6.0
-0.3033512830734253,-0.0312886238098144,2.0,6.0
-0.0857676267623901,-0.1130585670471191,2.0,6.0
-0.1070486307144165,-0.1573004722595214,2.0,6.0
-0.0848767757415771,-0.0941138267517089,2.0,6.0
-0.0766164064407348,-0.0984716415405273,2.0,6.0
